,age,gender,height,weight,activity_level,goal,protein,fats,carbohydrates,daily_dose
1,56,male,191,70,low,extremegain,83.466796875,74.19270833333333,306.044921875,2225.78125
2,46,male,167,70,minimal,extremegain,68.34375,60.75,250.59375000000003,1822.5
3,32,female,195,73,minimal,moderategain,73.24875,65.11,268.57875,1953.3
4,60,female,159,76,minimal,extremegain,58.17375,51.71,213.30375,1551.3
5,25,female,188,76,high,slightgain,106.6696875,94.8175,391.12218750000005,2844.525
6,38,female,179,62,medium,weightmaintenance,80.66296875,71.70041666666667,295.76421875000005,2151.0125000000003
7,56,male,175,99,medium,slightloss,105.13359375,93.45208333333333,385.48984375000003,2803.5625
8,36,female,156,78,low,slightgain,72.909375,64.80833333333334,267.334375,1944.25
9,40,male,156,88,high,slightgain,107.38125,95.44999999999999,393.73125000000005,2863.5
10,28,male,154,77,medium,moderateloss,92.8546875,82.5375,340.4671875,2476.125
11,28,female,150,86,low,slightgain,77.16328125,68.58958333333334,282.93203125,2057.6875
12,41,male,195,78,veryhigh,slightgain,128.1609375,113.92083333333332,469.92343750000003,3417.625
13,53,male,167,97,medium,moderateloss,101.93671875,90.61041666666667,373.76796875,2718.3125
14,57,male,162,71,medium,extremeloss,83.84531249999999,74.52916666666665,307.4328125,2235.875
15,41,male,174,85,veryhigh,moderategain,123.796875,110.04166666666667,453.92187500000006,3301.25
16,20,female,189,79,veryhigh,slightloss,121.8553125,108.31583333333333,446.8028125,3249.475
17,39,female,157,77,medium,moderateloss,81.09890625000001,72.08791666666667,297.36265625000004,2162.6375000000003
18,19,male,159,72,veryhigh,extremegain,115.69218749999999,102.83749999999999,424.20468750000003,3085.125
19,41,female,181,82,low,slightgain,81.739453125,72.65729166666667,299.711328125,2179.71875
20,61,male,166,53,medium,slightgain,73.67343749999999,65.4875,270.1359375,1964.625
21,47,female,187,52,medium,slightloss,75.14109375,66.79208333333332,275.51734375,2003.7625
22,55,female,164,81,minimal,moderategain,62.955,55.96,230.835,1678.8
23,19,female,164,53,medium,extremegain,75.504375,67.115,276.849375,2013.45
24,38,female,197,50,minimal,weightmaintenance,62.11125,55.21,227.74125,1656.3
25,50,female,189,61,veryhigh,moderateloss,98.3428125,87.41583333333332,360.59031250000004,2622.475
26,29,male,169,62,veryhigh,extremeloss,109.4578125,97.29583333333333,401.34531250000003,2918.875
27,39,female,164,83,low,slightloss,77.2921875,68.70416666666667,283.4046875,2061.125
28,61,male,184,78,minimal,slightloss,73.35,65.19999999999999,268.95000000000005,1956.0
29,42,male,155,58,medium,moderateloss,78.10546875,69.42708333333333,286.38671875,2082.8125
30,44,female,179,80,minimal,slightgain,69.19874999999999,61.50999999999999,253.72875000000002,1845.3
31,59,male,157,56,veryhigh,slightgain,89.1515625,79.24583333333334,326.8890625,2377.375
32,45,female,180,62,veryhigh,extremeloss,96.82875,86.07,355.03875,2582.1
33,33,male,197,51,low,moderateloss,81.533203125,72.47395833333333,298.955078125,2174.21875
34,32,male,196,82,veryhigh,slightloss,134.6625,119.69999999999999,493.76250000000005,3591.0
35,64,female,181,99,minimal,extremegain,73.81125,65.61,270.64125,1968.3
36,61,female,194,56,medium,moderateloss,75.9403125,67.5025,278.44781250000005,2025.075
37,20,female,164,67,medium,weightmaintenance,83.35125000000001,74.09,305.6212500000001,2222.7000000000003
38,54,female,167,57,minimal,slightloss,53.223749999999995,47.309999999999995,195.15375,1419.3
39,24,male,162,61,low,extremeloss,77.73046875,69.09375,285.01171875,2072.8125
40,38,female,173,92,medium,extremeloss,95.92078125,85.26291666666667,351.70953125000005,2557.8875000000003
41,26,male,189,79,minimal,slightloss,83.08125,73.85,304.63125,2215.5
42,56,male,163,58,minimal,slightgain,59.568749999999994,52.949999999999996,218.41875000000002,1588.5
43,35,male,177,77,veryhigh,slightloss,121.5703125,108.0625,445.75781250000006,3241.875
