iter	Passed	Remaining
0	63	632528
1	65	325823
2	66	221649
3	68	170987
4	69	137941
5	71	119055
6	73	104682
7	75	93725
8	76	84748
9	77	77766
10	79	72420
11	81	68019
12	83	64098
13	85	60729
14	86	57774
15	90	56376
16	92	54171
17	93	51784
18	94	49521
19	95	47631
20	96	45746
21	98	44604
22	99	43300
23	101	42215
24	102	41049
25	104	39951
26	105	38942
27	106	38042
28	107	37091
29	109	36304
30	111	35712
31	119	37113
32	122	36914
33	123	36207
34	125	35701
35	127	35177
36	138	37333
37	141	37222
38	143	36596
39	144	36044
40	146	35545
41	148	35166
42	150	34754
43	151	34252
44	152	33792
45	154	33521
46	157	33254
47	162	33666
48	164	33346
49	165	33005
50	172	33737
51	175	33508
52	177	33313
53	180	33282
54	182	33089
55	184	32746
56	186	32526
57	188	32394
58	190	32096
59	193	32052
60	194	31753
61	196	31430
62	197	31111
63	198	30853
64	199	30538
65	202	30435
66	203	30168
67	205	30004
68	207	29819
69	210	29832
70	211	29567
71	213	29375
72	214	29215
73	217	29128
74	219	29018
75	221	28936
76	223	28766
77	224	28617
78	226	28434
79	229	28443
80	231	28350
81	233	28252
82	235	28170
83	241	28450
84	242	28345
85	245	28291
86	247	28218
87	249	28060
88	250	27893
89	253	27940
90	255	27859
91	259	27964
92	261	27843
93	263	27806
94	266	27826
95	268	27749
96	270	27624
97	272	27521
98	274	27472
99	276	27342
100	277	27183
101	282	27375
102	283	27271
103	286	27224
104	290	27381
105	292	27335
106	294	27242
107	297	27205
108	299	27140
109	300	27053
110	303	27011
111	308	27206
112	311	27246
113	314	27310
114	316	27242
115	318	27165
116	321	27157
117	322	27043
118	324	26917
119	325	26826
120	327	26707
121	332	26900
122	334	26855
123	336	26778
124	337	26692
125	340	26683
126	341	26570
127	343	26510
128	346	26479
129	348	26488
130	351	26471
131	353	26402
132	354	26319
133	356	26225
134	357	26124
135	360	26133
136	362	26093
137	364	26058
138	366	25975
139	367	25914
140	369	25827
141	370	25727
142	373	25715
143	375	25712
144	377	25649
145	378	25573
146	380	25487
147	383	25515
148	387	25615
149	389	25545
150	390	25498
151	392	25436
152	394	25408
153	396	25380
154	398	25323
155	400	25260
156	401	25184
157	403	25115
158	404	25053
159	407	25039
160	409	25006
161	410	24947
162	412	24899
163	414	24859
164	416	24836
165	418	24771
166	419	24699
167	453	26528
168	454	26458
169	456	26376
170	457	26311
171	459	26238
172	461	26202
173	462	26114
174	472	26519
175	483	27005
176	491	27262
177	495	27346
178	498	27352
179	501	27333
180	503	27333
181	505	27280
182	507	27234
183	510	27222
184	512	27204
185	514	27138
186	517	27140
187	519	27104
188	520	27016
189	522	26969
190	524	26953
191	525	26867
192	527	26803
193	528	26738
194	531	26720
195	534	26746
196	537	26724
197	538	26653
198	544	26796
199	545	26747
200	547	26672
201	551	26731
202	554	26762
203	555	26696
204	558	26664
205	560	26648
206	562	26628
207	564	26592
208	566	26539
209	568	26492
210	570	26445
211	572	26416
212	574	26379
213	575	26329
214	577	26278
215	579	26238
216	584	26333
217	586	26295
218	587	26230
219	590	26256
220	592	26208
221	593	26146
222	595	26096
223	596	26038
224	608	26418
225	609	26376
226	612	26355
227	614	26316
228	615	26257
229	618	26256
230	620	26239
231	622	26191
232	624	26168
233	626	26135
234	629	26143
235	631	26136
236	636	26204
237	638	26178
238	640	26152
239	641	26093
240	643	26042
241	645	26033
242	649	26076
243	653	26120
244	655	26085
245	657	26065
246	661	26119
247	666	26227
248	669	26206
249	671	26205
250	680	26421
251	683	26422
252	684	26380
253	693	26603
254	697	26663
255	700	26655
256	702	26622
257	704	26593
258	706	26557
259	707	26507
260	710	26500
261	712	26467
262	715	26486
263	717	26469
264	718	26412
265	721	26397
266	724	26403
267	728	26443
268	731	26459
269	734	26452
270	736	26431
271	737	26394
272	740	26380
273	742	26362
274	745	26379
275	748	26358
276	750	26338
277	752	26318
278	755	26311
279	758	26314
280	760	26314
281	763	26324
282	766	26329
283	769	26309
284	771	26290
285	773	26267
286	775	26241
287	776	26201
288	783	26336
289	786	26322
290	789	26333
291	790	26292
292	792	26263
293	794	26232
294	798	26259
295	800	26255
296	804	26281
297	823	26794
298	826	26809
299	831	26873
300	835	26914
301	838	26938
302	842	26965
303	847	27036
304	852	27109
305	854	27077
306	857	27086
307	860	27070
308	864	27124
309	868	27133
310	870	27126
311	872	27105
312	875	27101
313	878	27098
314	880	27065
315	882	27049
316	885	27036
317	888	27046
318	891	27061
319	894	27044
320	897	27051
321	899	27022
322	901	27010
323	904	26997
324	906	26992
325	908	26974
326	911	26955
327	914	26954
328	916	26942
329	918	26919
330	920	26893
331	922	26861
332	924	26834
333	926	26827
334	928	26793
335	930	26775
336	932	26739
337	935	26728
338	936	26697
339	938	26660
340	940	26630
341	941	26601
342	944	26582
343	945	26550
344	947	26512
345	949	26480
346	951	26459
347	952	26424
348	954	26403
349	956	26380
350	958	26356
351	961	26346
352	962	26315
353	964	26288
354	967	26277
355	969	26266
356	971	26248
357	973	26231
358	975	26206
359	977	26185
360	979	26161
361	981	26136
362	983	26102
363	985	26093
364	987	26059
365	988	26023
366	990	25998
367	992	25989
368	994	25965
369	996	25933
370	999	25945
371	1001	25910
372	1003	25908
373	1006	25899
374	1008	25875
375	1010	25862
376	1012	25838
377	1016	25867
378	1018	25851
379	1020	25831
380	1021	25798
381	1023	25766
382	1024	25732
383	1026	25702
384	1027	25662
385	1028	25625
386	1030	25592
387	1031	25562
388	1033	25532
389	1034	25502
390	1036	25478
391	1040	25491
392	1041	25450
393	1042	25415
394	1043	25384
395	1045	25358
396	1047	25336
397	1048	25303
398	1050	25289
399	1052	25262
400	1054	25241
401	1056	25215
402	1057	25189
403	1059	25167
404	1061	25137
405	1063	25119
406	1064	25091
407	1066	25063
408	1067	25031
409	1068	24999
410	1070	24964
411	1071	24928
412	1072	24893
413	1073	24857
414	1074	24821
415	1076	24795
416	1077	24767
417	1079	24737
418	1080	24708
419	1082	24680
420	1083	24658
421	1085	24629
422	1087	24623
423	1089	24595
424	1090	24574
425	1092	24549
426	1094	24529
427	1095	24502
428	1096	24473
429	1098	24450
430	1099	24417
431	1101	24387
432	1102	24361
433	1103	24330
434	1105	24302
435	1106	24277
436	1108	24254
437	1109	24231
438	1111	24202
439	1112	24177
440	1114	24151
441	1115	24124
442	1117	24097
443	1118	24072
444	1119	24045
445	1121	24021
446	1122	23995
447	1124	23969
448	1125	23939
449	1126	23911
450	1128	23884
451	1130	23870
452	1131	23849
453	1133	23826
454	1134	23807
455	1136	23780
456	1137	23753
457	1140	23756
458	1141	23736
459	1144	23730
460	1145	23710
461	1147	23683
462	1149	23674
463	1150	23652
464	1152	23640
465	1154	23613
466	1156	23613
467	1158	23595
468	1159	23564
469	1161	23559
470	1168	23645
471	1170	23636
472	1172	23624
473	1174	23613
474	1176	23600
475	1178	23582
476	1179	23553
477	1181	23527
478	1182	23502
479	1183	23475
480	1184	23447
481	1186	23436
482	1188	23417
483	1199	23586
484	1201	23562
485	1202	23539
486	1222	23889
487	1224	23860
488	1225	23836
489	1227	23831
490	1255	24309
491	1263	24424
492	1266	24413
493	1278	24604
494	1310	25166
495	1320	25303
496	1322	25294
497	1325	25293
498	1327	25266
499	1328	25242
500	1329	25212
501	1333	25226
502	1334	25200
503	1336	25175
504	1337	25152
505	1339	25131
506	1341	25109
507	1343	25101
508	1344	25069
509	1345	25042
510	1347	25018
511	1348	24993
512	1350	24978
513	1352	24956
514	1353	24934
515	1355	24908
516	1356	24880
517	1358	24864
518	1360	24848
519	1361	24826
520	1363	24811
521	1365	24786
522	1366	24758
523	1367	24731
524	1369	24719
525	1372	24717
526	1373	24692
527	1374	24665
528	1376	24646
529	1378	24625
530	1379	24607
531	1381	24584
532	1383	24569
533	1385	24561
534	1388	24558
535	1389	24540
536	1391	24515
537	1392	24494
538	1395	24489
539	1396	24466
540	1398	24447
541	1400	24432
542	1401	24405
543	1404	24406
544	1405	24380
545	1406	24358
546	1408	24338
547	1411	24346
548	1412	24323
549	1414	24299
550	1415	24275
551	1417	24254
552	1418	24226
553	1419	24210
554	1421	24188
555	1423	24176
556	1439	24408
557	1441	24388
558	1442	24363
559	1444	24342
560	1445	24323
561	1446	24298
562	1448	24285
563	1451	24277
564	1453	24265
565	1454	24244
566	1456	24225
567	1457	24202
568	1458	24178
569	1460	24158
570	1461	24137
571	1463	24124
572	1464	24100
573	1466	24085
574	1468	24070
575	1469	24049
576	1471	24029
577	1473	24014
578	1475	24003
579	1477	23995
580	1479	23983
581	1480	23964
582	1482	23949
583	1484	23940
584	1486	23926
585	1488	23916
586	1490	23896
587	1492	23884
588	1493	23869
589	1495	23851
590	1497	23847
591	1499	23827
592	1500	23807
593	1502	23793
594	1504	23777
595	1505	23762
596	1507	23739
597	1508	23719
598	1510	23703
599	1512	23688
600	1513	23664
601	1514	23645
602	1516	23631
603	1517	23611
604	1519	23589
605	1520	23571
606	1522	23561
607	1524	23544
608	1525	23525
609	1527	23511
610	1529	23499
611	1530	23481
612	1532	23466
613	1533	23449
614	1535	23430
615	1536	23411
616	1539	23414
617	1541	23401
618	1544	23401
619	1545	23386
620	1547	23371
621	1549	23358
